Item#,Total sales,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
1,2854,0.113,0.066,0.064,0.064,0.016,0.052,0.042,0.029,0.037,0.031,0.002,0.054,0.051,0.053,0.039,0.038,0.027,0.034,0.027,0.004,0.006,0.044,0.039,0.001
2,2817,0.116,0.051,0.025,0.011,0.072,0.038,0.009,0.046,0.015,0.045,0.075,0.058,0.006,0.047,0.024,0.049,0.047,0.042,0.035,0.041,0.013,0.032,0.012,0.029
3,5089,0.118,0.032,0.072,0.040,0.071,0.018,0.051,0.024,0.073,0.025,0.015,0.035,0.065,0.032,0.022,0.029,0.048,0.039,0.015,0.037,0.048,0.036,0.033,0.018
4,6906,0.138,0.016,0.019,0.048,0.027,0.010,0.015,0.006,0.038,0.050,0.040,0.062,0.007,0.035,0.036,0.028,0.027,0.037,0.029,0.046,0.046,0.034,0.003,0.045
5,3115,0.116,0.032,0.048,0.054,0.035,0.049,0.023,0.075,0.063,0.082,0.064,0.037,0.003,0.134,0.038,0.048,0.039,0.044,0.012,0.004,0.000,0.000,0.000,0.000
6,4404,0.122,0.052,0.068,0.081,0.006,0.083,0.048,0.080,0.004,0.024,0.080,0.079,0.050,0.039,0.023,0.026,0.029,0.049,0.030,0.012,0.005,0.008,0.000,0.000
7,5950,0.147,0.012,0.051,0.013,0.071,0.041,0.007,0.052,0.042,0.015,0.019,0.008,0.061,0.023,0.033,0.021,0.045,0.049,0.048,0.034,0.002,0.035,0.004,0.023
8,5164,0.119,0.059,0.015,0.069,0.057,0.035,0.034,0.035,0.070,0.033,0.076,0.043,0.015,0.024,0.024,0.030,0.033,0.034,0.045,0.045,0.029,0.045,0.000,0.000
9,2755,0.119,0.006,0.071,0.056,0.017,0.017,0.082,0.044,0.052,0.030,0.039,0.037,0.079,0.009,0.023,0.041,0.022,0.044,0.007,0.014,0.046,0.009,0.041,0.019
10,3039,0.115,0.005,0.004,0.077,0.076,0.026,0.035,0.008,0.010,0.062,0.030,0.075,0.043,0.072,0.041,0.023,0.045,0.046,0.002,0.038,0.008,0.018,0.042,0.005
11,3008,0.111,0.064,0.068,0.050,0.008,0.060,0.010,0.025,0.003,0.016,0.029,0.068,0.008,0.037,0.020,0.035,0.031,0.024,0.004,0.017,0.004,0.014,0.011,0.011
12,4943,0.144,0.060,0.038,0.019,0.076,0.072,0.008,0.000,0.079,0.081,0.063,0.076,0.076,0.055,0.028,0.036,0.021,0.028,0.023,0.019,0.000,0.000,0.000,0.000
13,6916,0.133,0.065,0.071,0.072,0.054,0.057,0.003,0.019,0.062,0.077,0.013,0.053,0.039,0.051,0.041,0.045,0.028,0.028,0.040,0.042,0.005,0.000,0.000,0.000
14,4783,0.132,0.033,0.002,0.083,0.033,0.068,0.057,0.006,0.079,0.049,0.069,0.061,0.061,0.066,0.039,0.030,0.043,0.043,0.004,0.011,0.031,0.000,0.000,0.000
15,4114,0.109,0.012,0.034,0.073,0.033,0.007,0.035,0.002,0.011,0.059,0.064,0.018,0.077,0.021,0.043,0.038,0.046,0.041,0.010,0.032,0.037,0.032,0.030,0.003
16,5510,0.114,0.069,0.008,0.034,0.069,0.033,0.076,0.053,0.058,0.038,0.052,0.046,0.072,0.020,0.037,0.025,0.036,0.024,0.010,0.014,0.030,0.020,0.008,0.033
17,6294,0.114,0.060,0.031,0.078,0.082,0.026,0.081,0.022,0.054,0.027,0.029,0.047,0.005,0.139,0.023,0.044,0.041,0.035,0.028,0.009,0.010,0.015,0.000,0.000
18,3757,0.135,0.011,0.005,0.065,0.035,0.042,0.063,0.040,0.010,0.009,0.059,0.018,0.047,0.124,0.046,0.027,0.021,0.042,0.001,0.042,0.023,0.014,0.034,0.007
19,4716,0.144,0.046,0.048,0.004,0.030,0.056,0.036,0.053,0.076,0.048,0.064,0.011,0.082,0.075,0.049,0.029,0.034,0.039,0.013,0.028,0.036,0.000,0.000,0.000
20,4730,0.149,0.019,0.033,0.040,0.044,0.079,0.064,0.042,0.039,0.065,0.033,0.016,0.018,0.004,0.043,0.041,0.042,0.049,0.014,0.006,0.029,0.034,0.028,0.000
21,4122,0.103,0.028,0.039,0.083,0.003,0.064,0.070,0.017,0.042,0.041,0.043,0.034,0.056,0.030,0.032,0.048,0.045,0.032,0.021,0.044,0.040,0.035,0.032,0.000
22,4758,0.117,0.050,0.044,0.012,0.071,0.003,0.067,0.072,0.070,0.009,0.044,0.031,0.054,0.014,0.034,0.031,0.035,0.042,0.013,0.013,0.043,0.044,0.004,0.042
23,8775,0.136,0.038,0.064,0.039,0.030,0.067,0.024,0.025,0.055,0.002,0.081,0.071,0.003,0.048,0.041,0.035,0.029,0.024,0.006,0.042,0.010,0.047,0.034,0.049
24,4385,0.139,0.082,0.082,0.014,0.054,0.069,0.000,0.005,0.003,0.015,0.062,0.006,0.051,0.029,0.022,0.041,0.050,0.041,0.043,0.014,0.037,0.014,0.043,0.020
25,4557,0.124,0.032,0.011,0.012,0.059,0.039,0.014,0.008,0.005,0.083,0.071,0.012,0.023,0.089,0.039,0.048,0.023,0.021,0.043,0.030,0.025,0.010,0.023,0.022
26,2699,0.143,0.048,0.022,0.049,0.035,0.050,0.068,0.040,0.035,0.039,0.038,0.055,0.044,0.085,0.035,0.033,0.045,0.024,0.043,0.033,0.025,0.010,0.000,0.000
27,3267,0.111,0.019,0.027,0.050,0.072,0.069,0.004,0.048,0.008,0.076,0.049,0.053,0.051,0.101,0.028,0.043,0.032,0.042,0.006,0.014,0.026,0.023,0.028,0.019
28,3740,0.133,0.074,0.068,0.059,0.048,0.064,0.016,0.008,0.047,0.019,0.025,0.064,0.026,0.033,0.046,0.045,0.036,0.040,0.031,0.002,0.042,0.034,0.023,0.000
29,5120,0.116,0.006,0.001,0.048,0.004,0.035,0.034,0.012,0.066,0.020,0.070,0.082,0.051,0.049,0.040,0.048,0.037,0.040,0.017,0.002,0.030,0.040,0.006,0.030
30,4422,0.149,0.078,0.023,0.008,0.030,0.071,0.038,0.025,0.014,0.070,0.037,0.059,0.076,0.111,0.023,0.022,0.027,0.033,0.001,0.003,0.023,0.009,0.028,0.032
31,4410,0.117,0.047,0.051,0.038,0.018,0.056,0.063,0.010,0.025,0.009,0.065,0.007,0.055,0.024,0.020,0.023,0.025,0.029,0.029,0.041,0.020,0.043,0.050,0.011
32,4482,0.119,0.078,0.023,0.005,0.079,0.042,0.024,0.059,0.040,0.083,0.081,0.004,0.063,0.043,0.025,0.033,0.035,0.046,0.001,0.025,0.031,0.044,0.016,0.000
33,4203,0.136,0.059,0.003,0.032,0.056,0.044,0.065,0.013,0.016,0.079,0.044,0.000,0.058,0.129,0.041,0.040,0.042,0.041,0.013,0.018,0.013,0.043,0.013,0.000
34,3552,0.149,0.079,0.041,0.055,0.037,0.028,0.064,0.007,0.024,0.056,0.039,0.026,0.047,0.019,0.032,0.023,0.037,0.033,0.034,0.027,0.013,0.002,0.039,0.025
35,11440,0.102,0.023,0.017,0.059,0.074,0.027,0.078,0.033,0.036,0.046,0.006,0.006,0.068,0.022,0.023,0.038,0.050,0.025,0.015,0.031,0.018,0.026,0.013,0.024
36,3206,0.133,0.003,0.080,0.025,0.005,0.056,0.073,0.008,0.029,0.067,0.082,0.045,0.078,0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,3084,0.143,0.075,0.044,0.070,0.067,0.054,0.017,0.057,0.038,0.062,0.004,0.008,0.082,0.086,0.026,0.048,0.043,0.036,0.010,0.029,0.000,0.000,0.000,0.000
38,5025,0.137,0.072,0.055,0.018,0.049,0.052,0.032,0.055,0.048,0.044,0.079,0.068,0.069,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,5383,0.125,0.005,0.005,0.010,0.062,0.078,0.074,0.033,0.077,0.067,0.018,0.054,0.023,0.131,0.032,0.022,0.034,0.039,0.028,0.001,0.025,0.050,0.006,0.000
40,3048,0.118,0.074,0.027,0.042,0.037,0.064,0.036,0.049,0.023,0.031,0.064,0.011,0.035,0.032,0.049,0.033,0.022,0.048,0.049,0.023,0.018,0.045,0.026,0.002
41,3044,0.132,0.080,0.031,0.007,0.073,0.075,0.078,0.020,0.070,0.076,0.005,0.058,0.033,0.126,0.026,0.035,0.041,0.022,0.012,0.000,0.000,0.000,0.000,0.000
42,6358,0.149,0.047,0.008,0.045,0.075,0.045,0.021,0.045,0.065,0.030,0.062,0.042,0.051,0.045,0.031,0.028,0.031,0.032,0.048,0.022,0.048,0.001,0.016,0.012
43,3561,0.140,0.047,0.024,0.043,0.033,0.032,0.048,0.077,0.059,0.059,0.031,0.064,0.020,0.057,0.033,0.040,0.043,0.028,0.008,0.029,0.042,0.014,0.012,0.016
