Item#,Price,Beginning_of_Season,Weekend,Event_Length,Morning,Branded,Color_Popularity,ConcurrentEvents,Number_Competing_Styles_in_Event,Relative_Price_of_Competing_Styles,Num_Branded_Events12,Brand_MSRP_Index,Bottoms,Tops,Dresses,Demand,,,,
1,31.0,0,0,1,1,1,0.02,3,29,0.95,0,1.31,0,0,1,2854,,,,
2,33.0,0,0,2,1,1,0.11,3,9,1.00,2,0.64,0,0,1,2817,,,,
3,29.0,1,0,2,1,1,0.11,4,38,0.88,4,0.82,0,1,0,5089,,,,
4,28.0,0,0,3,1,1,0.31,3,13,1.01,2,0.62,0,0,0,6906,,,,
5,39.0,1,0,2,1,0,0.31,4,25,0.84,0,0.70,0,0,0,3376,,,,
6,28.0,0,0,3,0,0,0.08,5,26,0.43,0,0.78,0,1,0,4647,,,,
7,28.0,0,0,2,1,1,0.07,2,58,0.76,0,1.70,0,0,1,5950,,,,
8,27.0,0,0,2,1,1,0.03,1,44,1.90,2,0.87,0,1,0,5164,,,,
9,38.0,1,0,2,1,1,0.20,2,19,1.03,1,1.74,0,0,1,2755,,,,
10,33.0,0,0,2,1,1,0.31,2,29,0.81,4,0.61,0,0,1,3039,,,,
11,40.0,1,0,2,1,1,0.31,4,36,0.82,1,1.68,0,1,0,3008,,,,
12,29.0,1,0,2,1,1,0.11,2,32,0.73,2,0.59,0,1,0,5484,,,,
13,28.0,1,0,2,1,1,0.31,1,53,1.14,6,0.64,0,1,0,7482,,,,
14,30.0,0,0,3,1,1,0.31,2,63,0.75,4,1.83,0,0,1,5059,,,,
15,26.0,0,0,2,1,1,0.08,2,11,1.06,3,2.12,0,1,0,4114,,,,
16,27.0,0,0,2,0,1,0.31,3,41,1.03,6,0.51,0,0,1,5510,,,,
17,30.0,0,0,3,0,1,0.04,4,11,0.82,5,0.57,0,1,0,6482,,,,
18,34.0,0,0,3,1,1,0.31,3,5,1.00,4,1.20,0,0,0,3757,,,,
19,26.0,1,0,2,1,1,0.04,2,31,1.11,1,1.59,0,0,1,5102,,,,
20,26.0,1,1,2,1,0,0.31,1,52,1.65,0,1.20,0,0,1,4730,,,,
21,27.0,0,0,3,0,1,0.08,4,56,1.53,5,0.87,0,1,0,4122,,,,
22,27.0,0,1,3,1,1,0.31,2,47,0.80,1,0.92,0,1,0,4758,,,,
23,28.0,1,0,2,1,1,0.08,3,12,1.24,6,1.18,0,1,0,8775,,,,
24,27.0,0,0,2,1,1,0.31,2,13,0.98,5,1.04,0,1,0,4385,,,,
25,29.0,0,1,3,1,1,0.20,2,47,0.60,1,0.92,0,1,0,4557,,,,
26,40.0,0,0,2,1,0,0.20,2,19,1.49,0,1.78,0,0,1,2848,,,,
27,37.0,0,0,2,1,1,0.04,2,7,1.02,1,1.58,0,1,0,3267,,,,
28,35.0,0,0,3,1,1,0.11,3,1,1.00,2,0.61,1,0,0,3740,,,,
29,30.0,1,1,2,1,1,0.11,1,14,0.82,3,0.75,0,0,1,5120,,,,
30,27.0,0,1,3,1,0,0.31,3,13,0.78,0,0.76,0,0,1,4422,,,,
31,27.0,0,0,2,1,1,0.01,2,10,0.80,6,0.84,0,1,0,4410,,,,
32,30.0,1,1,2,1,0,0.20,1,13,1.04,0,0.91,0,1,0,4632,,,,
33,30.0,0,1,2,1,0,0.31,2,20,0.90,0,0.96,0,0,1,4344,,,,
34,32.0,0,0,1,1,1,0.08,3,17,1.27,0,0.93,0,1,0,3552,,,,
35,28.0,0,1,2,1,1,0.31,2,43,0.79,2,0.61,0,0,1,11440,,,,
36,29.0,0,0,2,1,1,0.20,3,38,0.80,2,1.94,0,0,1,4478,,,,
37,34.0,0,0,2,1,0,0.07,3,27,0.83,0,1.98,0,0,1,3421,,,,
38,27.0,1,0,2,1,1,0.31,4,13,0.96,3,0.46,0,1,0,6874,,,,
39,29.0,0,0,2,1,1,0.31,3,36,0.85,5,0.64,0,1,0,5465,,,,
40,38.0,0,0,2,1,1,0.03,3,14,1.00,1,0.62,0,0,1,3048,,,,
41,33.0,1,1,2,1,0,0.11,1,27,1.61,0,0.98,0,1,0,3483,,,,
42,29.0,0,1,2,1,1,0.04,2,12,1.01,2,2.18,0,1,0,6358,,,,
43,39.0,1,0,2,1,1,0.31,2,30,0.72,4,1.04,0,1,0,3561,,,,
44,31.0,0,0,2,1,1,0.04,4,19,0.99,1,1.14,0,0,1,2905,,,,
45,31.0,1,0,3,1,1,0.02,2,15,1.03,0,2.54,0,0,1,2703,,,,
46,37.0,0,0,3,1,1,0.03,2,15,1.01,3,1.45,1,0,0,3106,,,,
47,37.0,1,1,2,1,0,0.07,1,11,1.12,0,0.61,0,0,1,3669,,,,
48,26.0,0,0,3,1,1,0.00,1,1,1.00,1,1.44,1,0,0,4098,,,,
49,34.0,0,1,2,1,0,0.00,2,6,0.54,0,0.57,0,0,1,3060,,,,
50,28.0,1,0,2,1,1,0.31,2,5,1.00,0,0.29,0,0,0,13908,,,,
51,36.0,0,0,3,0,0,0.11,5,18,1.18,0,1.68,0,0,1,3447,,,,
52,31.0,0,0,2,1,1,0.31,2,13,1.15,1,2.54,0,0,1,2833,,,,
53,34.0,1,0,2,0,0,0.20,2,18,0.76,0,0.90,0,0,1,3581,,,,
54,38.0,1,1,2,1,1,0.20,2,16,0.95,0,1.54,0,0,1,3921,,,,
55,29.0,1,0,2,1,1,0.02,4,4,0.51,1,2.86,1,0,0,4311,,,,
56,31.0,1,0,2,1,1,0.02,2,43,1.23,7,1.03,0,0,1,3647,,,,
57,33.0,1,1,2,1,1,0.20,2,9,1.34,6,1.30,0,0,0,3491,,,,
58,29.0,0,0,3,0,0,0.02,5,26,0.43,0,0.78,0,1,0,5500,,,,
59,28.0,0,0,2,1,0,0.11,3,6,1.49,0,0.60,0,1,0,5315,,,,
60,32.0,1,0,2,1,1,0.11,4,20,1.20,0,1.03,0,0,1,3768,,,,
61,38.0,0,0,4,1,1,0.31,3,2,1.05,1,1.27,1,0,0,2812,,,,
62,30.0,0,0,2,1,0,0.03,1,3,0.67,0,0.64,0,1,0,5372,,,,
63,36.0,1,0,2,0,0,0.31,2,18,1.71,0,1.76,0,0,1,3630,,,,
64,26.0,0,0,2,1,1,0.31,3,26,0.71,5,0.54,0,0,1,4202,,,,
65,36.0,1,1,2,1,1,0.31,3,29,0.94,3,0.61,0,0,1,3028,,,,
66,35.0,0,0,2,1,1,0.01,2,3,0.83,0,2.34,0,0,0,3343,,,,
67,26.0,0,0,2,1,1,0.20,1,23,1.03,6,0.64,0,1,0,8305,,,,
68,28.0,1,0,2,1,1,0.01,2,40,1.18,4,1.20,0,0,1,3982,,,,
69,38.0,0,0,1,1,1,0.07,3,29,0.95,0,1.31,0,0,1,3043,,,,
70,30.0,1,0,2,1,1,0.07,2,30,1.57,3,1.21,0,1,0,5249,,,,
71,31.0,0,0,2,1,1,0.02,5,14,0.94,1,0.98,0,1,0,3423,,,,
72,29.0,0,1,2,1,1,0.20,2,25,0.69,8,1.66,0,0,1,5395,,,,
73,27.0,0,0,2,1,1,0.11,1,10,0.92,1,1.84,0,0,1,6723,,,,
74,26.0,0,1,2,1,0,0.31,2,50,0.72,0,0.82,0,0,1,4128,,,,
75,27.0,0,0,3,0,1,0.08,4,56,0.76,5,0.87,0,1,0,7673,,,,
76,32.0,0,0,2,1,1,0.20,3,39,1.34,4,0.76,0,0,1,3968,,,,
77,29.0,0,0,2,1,1,0.20,1,9,0.66,4,0.89,0,1,0,13716,,,,
78,34.0,1,0,2,1,0,0.31,1,23,1.15,0,1.49,0,1,0,3151,,,,
79,32.0,1,1,2,1,1,0.20,2,16,0.73,1,1.91,0,0,1,3574,,,,
80,30.0,0,0,2,1,1,0.31,3,1,1.00,1,1.43,0,1,0,9312,,,,
81,26.0,0,1,2,1,1,0.20,2,2,1.11,2,0.47,1,0,0,7885,,,,
82,40.0,0,0,4,1,1,0.20,3,9,1.08,1,1.02,0,0,1,2865,,,,
83,40.0,0,0,3,0,0,0.11,4,27,1.04,0,0.69,0,1,0,3160,,,,
84,31.0,1,0,2,1,1,0.31,2,5,1.68,0,2.31,0,1,0,2888,,,,
85,26.0,0,0,2,1,1,0.31,2,5,1.09,0,1.44,1,0,0,4020,,,,
86,33.0,0,0,3,0,0,0.31,5,10,1.38,0,1.98,0,1,0,3560,,,,
87,36.0,1,1,2,1,1,0.01,2,25,0.73,6,0.64,0,1,0,3705,,,,
88,27.0,0,0,2,1,1,0.31,2,17,1.00,0,0.95,0,1,0,4210,,,,
89,27.0,0,1,2,1,1,0.03,2,2,1.00,1,0.41,0,1,0,7672,,,,
90,34.0,1,0,2,1,1,0.31,2,40,0.73,4,1.20,0,0,1,3827,,,,
91,36.0,1,1,2,1,1,0.20,2,16,0.44,1,1.91,0,0,1,3206,,,,
92,29.0,1,0,2,1,1,0.31,2,41,0.80,8,0.51,0,0,1,5243,,,,
93,29.0,1,1,2,1,0,0.11,1,52,0.76,0,0.66,0,0,1,4712,,,,
94,29.0,1,0,2,1,1,0.20,3,4,1.00,6,0.81,0,0,0,7637,,,,
95,26.0,0,0,2,1,1,0.11,4,25,1.40,2,0.88,0,1,0,4871,,,,
96,28.0,1,0,2,1,1,0.20,2,10,0.95,1,1.41,0,1,0,4290,,,,
97,39.0,0,0,2,1,1,0.20,3,7,0.94,3,1.56,1,0,0,3029,,,,
98,27.0,0,0,2,1,1,0.20,2,10,0.64,2,0.82,0,0,1,4904,,,,
99,27.0,0,1,2,1,1,0.31,2,13,1.04,0,0.91,0,0,1,4449,,,,
100,40.0,0,0,2,1,1,0.31,2,18,0.78,5,1.04,0,1,0,3250,,,,
101,26.0,0,0,3,1,1,0.11,4,24,2.72,5,1.36,0,0,1,4657,,,,
102,35.0,0,0,3,1,1,0.02,1,13,1.04,1,1.82,0,0,0,3722,,,,
103,27.0,1,0,2,1,1,0.11,3,22,1.11,2,0.76,0,0,1,4672,,,,
104,30.0,0,0,2,1,1,0.08,3,54,0.68,5,0.64,0,1,0,7177,,,,
105,33.0,0,0,2,1,1,0.06,3,27,1.05,3,1.84,0,0,1,3666,,,,
106,30.0,1,1,2,1,1,0.08,1,25,1.02,1,0.87,0,1,0,8929,,,,
107,29.0,1,0,2,1,1,0.31,2,29,0.69,4,0.76,0,0,1,6602,,,,
108,36.0,0,0,2,1,1,0.31,1,59,0.91,6,0.64,0,1,0,2750,,,,
109,38.0,0,0,3,1,0,0.31,1,20,1.44,0,1.20,0,0,1,2952,,,,
110,27.0,1,0,2,1,1,0.08,3,16,1.13,0,1.38,0,0,0,11067,,,,
111,27.0,0,0,2,1,1,0.20,1,4,1.40,1,0.58,1,0,0,4720,,,,
112,34.0,0,0,2,1,1,0.20,3,7,1.07,3,2.98,0,1,0,2896,,,,
113,29.0,0,1,2,1,1,0.08,2,8,1.08,3,0.41,0,0,0,4691,,,,
114,30.0,1,1,2,1,0,0.11,2,3,1.26,0,0.76,0,1,0,4056,,,,
115,38.0,1,0,2,1,0,0.31,2,20,0.87,0,1.36,0,0,1,2784,,,,
116,26.0,0,0,3,1,0,0.08,1,1,1.00,0,0.64,0,0,0,4862,,,,
117,31.0,0,0,2,1,1,0.20,1,4,1.18,1,1.58,0,1,0,3927,,,,
118,32.0,1,0,2,0,0,0.20,2,14,1.06,0,1.11,0,1,0,3489,,,,
119,29.0,0,0,2,1,1,0.31,1,13,1.18,4,1.74,0,1,0,8848,,,,
120,29.0,1,1,2,1,1,0.20,1,35,0.68,1,0.87,0,1,0,6649,,,,
